cidade,area,quartos,banheiro,garagens,andar,animal,mobilia,condominio_reais,iptu,seguro_incendio
São Paulo,30,2,1,0,-,acept,not furnished,0,5,23
São Paulo,30,1,1,1,14,not acept,furnished,460,100,45
São Paulo,155,2,3,2,-,acept,not furnished,0,377,61
Belo Horizonte,30,1,1,1,1,not acept,not furnished,50,19,12
São Paulo,67,3,2,1,10,not acept,not furnished,496,72,20
Belo Horizonte,45,1,1,1,2,not acept,furnished,300,0,40
São Paulo,179,4,4,3,8,acept,furnished,1100,751,108
Campinas,400,4,6,3,-,acept,not furnished,1200,700,103
Rio de Janeiro,690,4,5,2,21,not acept,not furnished,4798,1301,123
Belo Horizonte,134,4,2,3,1,not acept,not furnished,650,313,40
Campinas,130,3,2,6,-,acept,not furnished,0,182,34
Rio de Janeiro,30,1,1,0,8,not acept,not furnished,550,25,16
Rio de Janeiro,31,1,1,0,5,acept,not furnished,400,67,18
São Paulo,275,4,4,3,9,acept,not furnished,3300,1250,87
Rio de Janeiro,67,2,1,0,4,acept,not furnished,810,80,17
São Paulo,93,3,3,2,5,acept,furnished,1203,267,54
Porto Alegre,40,1,1,1,9,not acept,furnished,1300,68,18
São Paulo,33,1,1,1,1,acept,not furnished,570,9,21
São Paulo,40,1,1,1,5,acept,not furnished,350,0,23
Porto Alegre,41,1,1,0,13,acept,not furnished,500,42,34
São Paulo,450,3,2,0,-,acept,not furnished,0,917,88
São Paulo,210,3,5,4,6,acept,furnished,3301,960,151
Porto Alegre,109,3,2,1,2,acept,furnished,681,193,36
São Paulo,345,3,3,5,2,acept,not furnished,3000,834,162
Belo Horizonte,230,4,3,4,7,acept,furnished,3100,1500,200
Campinas,55,2,1,1,3,acept,not furnished,385,20,12
Rio de Janeiro,64,1,1,0,7,acept,not furnished,670,105,16
Porto Alegre,91,3,2,2,3,acept,not furnished,400,150,50
Campinas,70,2,1,2,-,acept,not furnished,0,70,20
São Paulo,130,3,4,4,-,acept,not furnished,1100,490,50
São Paulo,35,2,1,1,-,acept,not furnished,125,0,32
Campinas,50,2,1,1,-,acept,not furnished,330,0,15
Campinas,30,1,1,0,5,acept,not furnished,280,12,8
Rio de Janeiro,70,2,2,0,2,acept,not furnished,950,125,28
Porto Alegre,132,3,2,2,9,acept,furnished,1000,167,49
Campinas,119,3,1,1,5,acept,not furnished,926,100,16
São Paulo,100,3,3,1,-,acept,not furnished,0,0,37
São Paulo,35,1,1,0,-,acept,not furnished,0,30,14
Rio de Janeiro,30,1,1,0,2,not acept,not furnished,350,0,15
Porto Alegre,32,1,1,0,-,acept,furnished,230,23,11
São Paulo,140,3,3,3,7,not acept,not furnished,2200,800,102
Porto Alegre,429,5,4,5,-,acept,not furnished,0,334,187
São Paulo,50,1,1,1,-,not acept,not furnished,0,80,23
São Paulo,495,5,5,4,11,not acept,not furnished,3100,2180,191
São Paulo,23,1,1,0,23,acept,not furnished,392,41,27
Rio de Janeiro,284,4,4,1,4,acept,furnished,3010,692,103
São Paulo,120,1,2,2,4,acept,not furnished,3100,750,54
Belo Horizonte,458,8,10,4,-,acept,not furnished,0,419,115
Porto Alegre,90,4,2,0,-,not acept,not furnished,0,152,31
Rio de Janeiro,110,3,3,1,6,not acept,not furnished,1300,100,13
São Paulo,60,2,2,1,1,acept,not furnished,600,0,24
Campinas,44,2,1,1,3,acept,not furnished,192,0,13
São Paulo,90,3,1,0,-,acept,not furnished,0,66,41
Campinas,54,2,1,1,13,acept,not furnished,320,69,21
São Paulo,125,3,3,1,9,acept,not furnished,674,25,26
Rio de Janeiro,60,2,1,1,8,not acept,not furnished,560,500,13
Belo Horizonte,320,5,4,6,-,not acept,not furnished,0,584,132
Porto Alegre,43,1,1,2,3,acept,furnished,500,75,37
São Paulo,750,4,6,2,-,acept,not furnished,0,2041,226
São Paulo,25,1,1,0,-,acept,not furnished,20,25,19
Belo Horizonte,45,2,1,1,5,not acept,not furnished,227,28,10
São Paulo,96,3,2,2,17,acept,not furnished,804,250,41
São Paulo,50,1,1,0,-,not acept,not furnished,0,25,12
Rio de Janeiro,120,4,2,1,5,acept,furnished,1890,367,155
São Paulo,420,4,6,4,-,acept,not furnished,300,417,98
Belo Horizonte,60,1,1,1,8,acept,furnished,694,151,15
São Paulo,280,4,4,4,6,not acept,furnished,3200,100,77
São Paulo,400,4,4,0,-,acept,not furnished,2100,1520,68
Rio de Janeiro,40,1,1,1,20,not acept,not furnished,800,91,15
São Paulo,290,3,3,3,-,acept,not furnished,0,542,121
Rio de Janeiro,160,3,1,0,3,not acept,not furnished,2450,474,53
São Paulo,49,2,1,1,6,acept,not furnished,277,104,27
São Paulo,23,1,1,1,26,acept,not furnished,472,59,30
São Paulo,53,2,2,1,10,not acept,furnished,579,89,39
Belo Horizonte,165,3,3,3,-,acept,not furnished,0,192,50
Porto Alegre,70,2,1,1,11,acept,not furnished,400,28,20
Rio de Janeiro,100,3,2,0,8,not acept,furnished,1600,234,65
São Paulo,60,1,1,0,-,not acept,not furnished,0,0,15
São Paulo,35,1,1,0,15,acept,not furnished,300,0,20
São Paulo,127,2,3,2,1,acept,furnished,996,292,49
Belo Horizonte,350,5,5,3,3,not acept,not furnished,500,252,27
São Paulo,450,3,3,8,-,acept,furnished,0,400,76
Campinas,57,1,1,1,2,acept,not furnished,605,66,11
São Paulo,25,1,1,0,1,not acept,not furnished,0,84,14
Porto Alegre,58,1,1,0,2,acept,not furnished,309,28,11
São Paulo,32,1,1,1,1,acept,furnished,700,128,58
São Paulo,48,2,1,1,7,acept,not furnished,438,0,22
São Paulo,180,3,3,2,1,acept,not furnished,2000,900,92
Rio de Janeiro,77,2,2,1,1,acept,not furnished,1150,230,39
São Paulo,190,3,3,1,3,acept,not furnished,2150,459,80
São Paulo,87,3,2,1,17,acept,not furnished,850,200,18
São Paulo,354,5,6,3,-,acept,not furnished,0,958,134
São Paulo,81,2,1,1,4,not acept,not furnished,1121,340,50
São Paulo,22,1,1,0,1,not acept,furnished,300,40,12
Porto Alegre,24,1,1,1,-,not acept,not furnished,0,0,9
São Paulo,180,3,2,2,6,acept,not furnished,2066,518,70
São Paulo,23,1,1,0,26,acept,not furnished,399,42,28
Campinas,70,1,2,1,2,not acept,not furnished,450,35,13
Rio de Janeiro,45,1,1,0,4,not acept,furnished,450,80,58
São Paulo,218,3,3,3,9,acept,furnished,1850,809,191
São Paulo,376,3,3,7,-,acept,not furnished,0,834,121
Belo Horizonte,260,5,3,3,12,acept,not furnished,2000,487,54
Belo Horizonte,42,1,1,1,15,not acept,not furnished,410,172,36
São Paulo,350,4,5,2,-,not acept,furnished,0,0,113
Belo Horizonte,48,2,1,1,3,acept,not furnished,120,96,12
São Paulo,50,1,1,0,-,not acept,not furnished,0,34,19
Campinas,85,3,2,2,16,acept,furnished,550,150,42
Campinas,64,1,2,1,11,not acept,not furnished,930,68,20
São Paulo,55,3,1,1,7,acept,furnished,600,121,23
Rio de Janeiro,136,3,2,2,7,acept,furnished,2470,558,104
São Paulo,500,4,7,6,5,not acept,not furnished,5400,4000,64
São Paulo,225,4,3,2,-,acept,furnished,0,290,67
São Paulo,128,3,3,2,10,acept,not furnished,2600,605,49
São Paulo,60,1,1,0,-,not acept,not furnished,0,144,20
São Paulo,103,3,3,2,3,acept,furnished,1310,448,83
Porto Alegre,65,2,2,2,6,acept,not furnished,400,41,29
São Paulo,52,2,1,0,1,not acept,not furnished,50,34,15
Rio de Janeiro,154,4,2,2,2,acept,not furnished,1850,313,55
São Paulo,340,4,5,3,15,not acept,furnished,3519,1287,153
São Paulo,717,5,5,8,16,acept,not furnished,4300,5032,32
Rio de Janeiro,55,1,2,1,2,acept,not furnished,650,55,16
São Paulo,70,1,1,2,-,acept,not furnished,0,63,20
Campinas,273,4,2,2,4,acept,furnished,2100,366,32
São Paulo,50,1,1,1,-,acept,not furnished,0,59,14
São Paulo,240,3,3,3,8,acept,not furnished,2999,417,134
São Paulo,82,3,2,2,19,not acept,not furnished,470,0,26
Belo Horizonte,180,3,3,0,-,acept,not furnished,0,180,53
São Paulo,89,2,3,3,9,acept,furnished,1158,244,55
São Paulo,180,3,4,3,12,acept,furnished,1600,250,44
São Paulo,32,1,1,1,22,acept,furnished,1800,416,26
Rio de Janeiro,60,1,1,0,2,not acept,not furnished,600,140,30
São Paulo,144,4,2,2,6,acept,not furnished,1820,667,61
São Paulo,271,3,2,2,-,acept,not furnished,0,646,73
São Paulo,149,3,3,2,12,not acept,not furnished,2000,0,69
São Paulo,884,5,7,6,8,acept,not furnished,9000,5917,162
São Paulo,85,3,3,2,3,not acept,not furnished,1600,300,63
Belo Horizonte,158,3,3,2,5,acept,not furnished,796,360,50
São Paulo,160,3,3,3,9,acept,furnished,2400,584,127
Rio de Janeiro,70,3,1,1,2,acept,not furnished,550,0,16
São Paulo,61,2,1,1,1,acept,not furnished,609,0,15
Belo Horizonte,95,3,2,2,7,acept,not furnished,525,219,42
São Paulo,185,3,3,2,9,acept,not furnished,0,0,153
Campinas,200,4,5,2,-,not acept,not furnished,1000,84,121
Campinas,50,2,2,1,2,not acept,not furnished,262,63,18
São Paulo,210,3,2,3,-,acept,not furnished,0,0,43
Rio de Janeiro,160,3,2,1,5,acept,not furnished,1815,256,39
Rio de Janeiro,100,2,1,1,4,acept,not furnished,1700,0,65
Campinas,159,3,2,2,1,acept,not furnished,1000,334,32
São Paulo,51,2,1,1,9,acept,not furnished,450,17,32
Rio de Janeiro,65,2,1,1,3,acept,not furnished,800,0,15
São Paulo,276,3,3,0,14,not acept,furnished,2308,795,153
Campinas,45,1,1,1,3,acept,furnished,492,28,17
Campinas,60,2,3,0,1,not acept,furnished,938,0,25
Belo Horizonte,160,4,6,3,7,not acept,not furnished,1750,831,64
Campinas,89,3,2,1,7,acept,not furnished,860,70,23
Porto Alegre,66,2,1,1,1,acept,not furnished,270,38,15
São Paulo,84,2,2,0,12,acept,not furnished,747,0,20
São Paulo,300,3,3,2,-,acept,not furnished,0,197,91
Campinas,104,2,2,2,7,acept,furnished,1100,210,54
Porto Alegre,112,3,2,2,3,acept,furnished,800,100,60
São Paulo,107,3,3,2,3,acept,not furnished,1600,417,58
São Paulo,70,3,2,1,3,acept,not furnished,1200,25,37
Rio de Janeiro,90,3,2,1,2,not acept,furnished,1000,310,49
Campinas,52,1,1,1,8,not acept,furnished,1000,50,30
São Paulo,104,2,2,2,8,acept,not furnished,1800,380,53
São Paulo,55,2,2,1,21,acept,not furnished,480,9,26
São Paulo,68,1,2,1,6,acept,furnished,2304,532,115
Campinas,39,1,1,1,1,not acept,furnished,573,32,15
São Paulo,70,2,2,1,1,acept,not furnished,280,138,13
Porto Alegre,45,1,1,2,5,acept,not furnished,800,9,34
Rio de Janeiro,165,2,2,0,2,acept,furnished,0,11,33
São Paulo,890,5,6,8,-,not acept,not furnished,0,9500,166
São Paulo,80,2,1,1,-,acept,not furnished,484,135,21
Campinas,348,3,3,3,-,acept,not furnished,0,350,91
São Paulo,43,2,2,0,-,not acept,furnished,0,70,23
Campinas,94,3,3,2,1,acept,not furnished,750,192,28
Rio de Janeiro,130,3,2,1,3,not acept,not furnished,1303,172,30
Porto Alegre,50,2,1,1,5,acept,not furnished,188,0,18
São Paulo,54,1,1,1,13,not acept,furnished,679,359,64
Rio de Janeiro,93,3,3,1,7,acept,not furnished,1307,235,39
São Paulo,40,1,1,0,-,not acept,not furnished,0,0,17
São Paulo,250,4,2,8,-,acept,not furnished,0,500,197
São Paulo,207,3,5,4,6,acept,not furnished,2400,934,153
São Paulo,129,3,2,2,9,acept,not furnished,880,156,29
Belo Horizonte,98,3,2,1,2,not acept,not furnished,325,116,19
São Paulo,145,2,3,2,16,acept,furnished,2000,584,127
São Paulo,220,3,3,3,9,acept,not furnished,3500,1466,113
Rio de Janeiro,90,2,2,1,3,acept,not furnished,600,17,16
São Paulo,100,2,1,0,-,not acept,not furnished,0,25,17
São Paulo,220,4,5,4,5,not acept,not furnished,2066,1577,41
Belo Horizonte,200,4,3,2,-,acept,not furnished,0,236,94
São Paulo,20,1,1,0,6,acept,furnished,602,130,23
São Paulo,70,1,1,4,-,acept,not furnished,0,42,20
São Paulo,525,5,4,4,-,acept,not furnished,0,2167,126
São Paulo,162,3,3,2,4,acept,not furnished,1756,367,89
Rio de Janeiro,81,2,1,0,6,acept,not furnished,1050,300,35
São Paulo,100,7,4,0,-,acept,not furnished,0,118,58
Rio de Janeiro,46,2,1,0,1,acept,not furnished,352,0,19
São Paulo,59,2,2,0,10,acept,furnished,380,143,50
Rio de Janeiro,50,2,1,1,5,acept,furnished,470,13,20
São Paulo,450,5,4,3,-,acept,not furnished,0,1201,181
São Paulo,200,2,2,2,11,acept,furnished,2900,560,140
São Paulo,59,2,1,1,8,acept,not furnished,0,0,39
São Paulo,92,3,3,1,3,acept,furnished,750,21,54
Rio de Janeiro,120,3,2,1,12,acept,not furnished,1300,235,32
São Paulo,45,1,1,0,3,not acept,furnished,620,0,49
São Paulo,74,2,2,2,8,not acept,not furnished,870,270,42
São Paulo,113,3,2,2,2,acept,not furnished,1300,250,61
São Paulo,55,2,1,1,6,not acept,not furnished,450,111,22
São Paulo,76,1,1,1,14,not acept,furnished,1300,185,64
São Paulo,340,3,5,5,-,acept,not furnished,0,2000,91
São Paulo,40,1,1,0,-,acept,not furnished,0,34,13
São Paulo,192,3,4,3,5,acept,not furnished,2000,0,102
Belo Horizonte,113,4,2,1,3,acept,not furnished,1587,429,54
Belo Horizonte,110,3,2,1,2,not acept,not furnished,400,150,19
São Paulo,15,1,1,0,-,not acept,not furnished,0,0,16
São Paulo,50,2,2,1,10,acept,not furnished,400,0,25
Belo Horizonte,60,1,2,1,5,acept,not furnished,750,163,26
São Paulo,80,2,2,1,-,not acept,not furnished,0,0,10
Rio de Janeiro,140,3,2,1,3,acept,not furnished,1100,95,29
São Paulo,150,3,3,1,9,acept,not furnished,1700,305,165
Belo Horizonte,70,3,2,1,3,acept,not furnished,240,103,19
São Paulo,305,2,3,0,10,acept,not furnished,3500,667,64
Rio de Janeiro,65,2,1,1,1,acept,furnished,0,0,20
Belo Horizonte,30,1,1,0,3,not acept,not furnished,0,0,20
Rio de Janeiro,80,2,3,1,7,acept,furnished,850,320,10
São Paulo,84,3,2,1,23,acept,not furnished,780,25,28
Rio de Janeiro,80,2,2,0,8,acept,furnished,650,100,22
Belo Horizonte,45,1,1,1,7,not acept,not furnished,440,91,20
Campinas,300,4,5,4,-,acept,not furnished,0,362,61
Rio de Janeiro,40,1,1,0,2,not acept,not furnished,450,114,31
Porto Alegre,48,2,1,1,3,acept,not furnished,400,7,15
São Paulo,32,1,1,1,9,not acept,furnished,1500,150,44
São Paulo,140,3,2,1,6,not acept,not furnished,1740,340,31
São Paulo,45,1,1,0,2,not acept,not furnished,160,15,8
São Paulo,270,3,4,2,11,acept,not furnished,3158,1100,191
Rio de Janeiro,95,2,2,2,11,acept,not furnished,1450,267,82
Porto Alegre,78,3,1,1,2,acept,not furnished,500,400,18
São Paulo,100,3,1,0,6,acept,furnished,805,120,50
São Paulo,163,2,3,2,18,acept,furnished,1464,470,102
São Paulo,150,3,4,3,-,acept,furnished,0,500,70
São Paulo,42,1,1,2,6,acept,furnished,595,0,43
São Paulo,32,1,1,1,18,not acept,furnished,1600,234,45
São Paulo,330,4,5,4,-,acept,not furnished,0,750,98
Belo Horizonte,280,4,4,3,10,acept,not furnished,1000,458,87
São Paulo,176,4,2,3,-,acept,not furnished,1225,0,76
Belo Horizonte,300,8,3,1,-,acept,not furnished,0,500,66
Belo Horizonte,80,3,2,2,1,acept,furnished,280,126,34
Porto Alegre,160,3,2,2,-,acept,not furnished,100,75,36
São Paulo,125,3,1,0,4,acept,not furnished,650,142,35
Porto Alegre,170,2,3,2,-,acept,not furnished,0,292,116
São Paulo,250,3,4,4,-,acept,not furnished,0,242,121
São Paulo,160,2,3,3,-,acept,not furnished,0,417,113
Porto Alegre,72,2,2,1,2,acept,not furnished,570,60,18
Porto Alegre,483,4,4,0,4,acept,furnished,2000,1167,72
Belo Horizonte,300,3,2,2,-,acept,not furnished,0,184,66
Rio de Janeiro,270,4,3,1,10,not acept,not furnished,2000,1000,52
Campinas,56,1,1,1,6,acept,furnished,722,50,18
Porto Alegre,75,2,1,0,9,acept,not furnished,450,34,15
São Paulo,74,2,3,2,26,acept,not furnished,450,40,41
Belo Horizonte,50,2,1,1,1,acept,not furnished,160,60,13
Porto Alegre,108,3,2,2,17,not acept,not furnished,900,92,46
Campinas,138,3,3,0,2,acept,not furnished,1000,84,89
São Paulo,120,2,1,4,-,acept,not furnished,0,207,31
São Paulo,50,1,1,0,1,acept,not furnished,325,25,20
São Paulo,191,4,3,3,13,not acept,not furnished,2800,1200,121
Porto Alegre,40,1,1,0,9,acept,not furnished,500,42,13
São Paulo,60,2,1,0,3,not acept,not furnished,400,0,17
São Paulo,150,3,2,0,-,acept,not furnished,0,24,61
São Paulo,240,3,4,4,10,not acept,not furnished,1700,1000,64
São Paulo,140,3,2,3,13,acept,furnished,1100,167,102
Porto Alegre,109,1,2,2,3,acept,furnished,496,87,63
São Paulo,110,3,2,2,2,acept,not furnished,834,297,70
Belo Horizonte,50,2,1,0,-,not acept,not furnished,0,50,16
Rio de Janeiro,156,4,3,2,4,acept,not furnished,1350,600,51
Porto Alegre,90,3,2,1,2,acept,furnished,650,60,33
Porto Alegre,68,2,1,1,5,acept,not furnished,600,500,12
São Paulo,80,2,1,0,-,acept,not furnished,0,165,22
São Paulo,177,4,5,4,12,acept,not furnished,1500,959,117
São Paulo,58,1,1,1,1,not acept,not furnished,580,75,23
Porto Alegre,100,3,2,1,6,acept,not furnished,1374,211,27
São Paulo,90,2,2,1,7,acept,furnished,760,142,70
São Paulo,270,3,2,4,-,acept,not furnished,0,1167,98
Rio de Janeiro,62,2,1,1,4,not acept,furnished,600,50,21
São Paulo,43,2,1,1,1,not acept,not furnished,750,17,18
Belo Horizonte,50,2,1,1,4,acept,not furnished,250,69,12
Campinas,230,3,4,4,5,acept,furnished,1800,715,127
São Paulo,61,1,2,1,13,acept,not furnished,680,140,51
Rio de Janeiro,40,1,1,0,2,acept,not furnished,380,0,15
São Paulo,234,3,5,4,-,acept,furnished,0,400,56
Porto Alegre,60,1,1,0,2,acept,not furnished,200,42,11
Belo Horizonte,154,4,4,3,12,acept,furnished,1670,153,114
Rio de Janeiro,75,2,1,0,-,not acept,not furnished,0,34,18
Rio de Janeiro,800,5,7,5,-,acept,not furnished,0,334,229
Rio de Janeiro,350,3,2,3,-,acept,not furnished,0,834,229
Campinas,250,4,4,0,-,acept,not furnished,750,369,58
São Paulo,45,1,1,1,3,acept,furnished,900,158,32
Campinas,180,3,2,1,11,acept,not furnished,1060,201,28
São Paulo,100,3,1,3,-,acept,not furnished,0,164,31
Rio de Janeiro,125,4,2,2,2,not acept,not furnished,1676,40,58
Porto Alegre,350,3,4,4,-,not acept,not furnished,0,167,63
São Paulo,120,3,3,2,-,acept,not furnished,0,125,42
São Paulo,140,3,3,2,6,acept,not furnished,2420,1000,33
São Paulo,101,2,3,1,12,acept,not furnished,900,267,45
Porto Alegre,63,2,2,2,3,acept,furnished,500,70,32
Porto Alegre,49,2,1,1,-,acept,not furnished,150,6,22
São Paulo,160,3,3,1,1,acept,not furnished,2800,450,58
São Paulo,300,4,5,5,6,not acept,not furnished,3500,10830,26
São Paulo,100,3,3,2,6,acept,not furnished,1250,250,70
São Paulo,400,4,5,3,3,acept,furnished,4670,1195,77
São Paulo,25,1,1,1,25,acept,not furnished,331,64,27
São Paulo,240,4,4,3,1,acept,not furnished,2800,792,54
São Paulo,320,4,3,4,5,acept,not furnished,3000,292,66
São Paulo,390,3,3,2,1,not acept,not furnished,1800,1000,83
São Paulo,52,2,1,0,4,acept,not furnished,0,0,17
São Paulo,228,3,4,3,12,not acept,furnished,1137,513,61
Porto Alegre,135,3,2,1,8,acept,not furnished,1300,209,32
São Paulo,100,4,4,1,-,acept,not furnished,0,9,151
Rio de Janeiro,45,1,1,0,5,acept,not furnished,750,34,13
Rio de Janeiro,55,1,1,0,1,acept,not furnished,585,0,11
Porto Alegre,36,1,1,1,17,acept,not furnished,225,35,18
São Paulo,260,4,3,4,1,acept,furnished,2780,1200,51
São Paulo,33,2,1,0,12,acept,not furnished,260,0,26
Rio de Janeiro,34,1,1,0,3,not acept,furnished,820,114,26
Porto Alegre,51,2,1,0,2,acept,not furnished,270,22,17
Rio de Janeiro,53,2,1,0,3,not acept,not furnished,535,50,24
Porto Alegre,70,2,1,0,9,acept,not furnished,0,0,26
São Paulo,130,2,2,2,11,not acept,not furnished,2200,780,96
São Paulo,200,3,3,3,3,acept,not furnished,3162,876,61
Belo Horizonte,360,1,1,8,-,acept,not furnished,0,167,36
São Paulo,93,2,2,2,3,acept,not furnished,800,200,45
Porto Alegre,74,2,2,0,10,acept,not furnished,550,50,40
Belo Horizonte,50,2,1,1,10,acept,not furnished,160,0,11
Rio de Janeiro,144,3,2,1,7,acept,furnished,1500,622,106
Porto Alegre,35,1,1,0,1,acept,not furnished,100,17,12
Rio de Janeiro,60,2,1,0,2,acept,furnished,175,0,24
São Paulo,33,1,1,0,16,acept,not furnished,350,0,20
São Paulo,160,4,2,2,12,acept,furnished,1506,460,63
São Paulo,100,3,1,2,-,not acept,not furnished,0,84,25
Rio de Janeiro,344,4,3,2,16,acept,furnished,2414,419,47
São Paulo,200,4,2,3,-,acept,furnished,0,0,68
Campinas,65,2,1,2,2,acept,not furnished,785,136,11
São Paulo,280,4,4,3,17,acept,furnished,2400,0,84
Belo Horizonte,201,4,4,3,2,acept,not furnished,1651,852,71
Porto Alegre,72,2,1,0,3,acept,furnished,620,54,24
São Paulo,170,3,2,1,14,acept,furnished,1700,85,58
São Paulo,235,3,3,0,15,acept,furnished,2550,709,106
São Paulo,178,3,3,3,8,acept,furnished,2500,700,106
São Paulo,40,1,1,0,-,not acept,not furnished,0,100,19
Rio de Janeiro,40,1,1,0,2,acept,furnished,742,86,27
Belo Horizonte,150,4,2,3,18,not acept,furnished,1300,480,66
Rio de Janeiro,95,3,2,2,7,acept,not furnished,985,122,30
Rio de Janeiro,190,4,4,0,4,acept,not furnished,2200,600,52
São Paulo,35,1,1,0,5,acept,not furnished,270,0,17
São Paulo,145,2,2,1,-,acept,not furnished,0,190,45
Rio de Janeiro,117,3,2,1,7,acept,not furnished,750,384,53
São Paulo,220,6,2,2,-,acept,not furnished,0,125,55
Porto Alegre,350,3,3,3,-,acept,not furnished,0,667,267
São Paulo,72,2,2,0,10,acept,not furnished,820,70,20
Rio de Janeiro,70,2,2,1,4,not acept,furnished,750,13,53
São Paulo,111,3,4,2,1,not acept,not furnished,680,0,51
Porto Alegre,100,2,2,1,-,not acept,not furnished,0,0,24
Belo Horizonte,154,4,2,2,2,acept,not furnished,1465,305,38
São Paulo,74,2,3,1,2,acept,not furnished,1180,105,58
Campinas,60,2,1,1,1,acept,not furnished,314,0,13
Belo Horizonte,90,2,2,2,4,not acept,furnished,500,250,54
São Paulo,400,5,4,5,-,not acept,not furnished,0,417,210
São Paulo,790,4,4,2,-,acept,not furnished,2500,2500,151
Rio de Janeiro,40,1,1,0,9,acept,not furnished,300,25,20
São Paulo,100,1,1,0,-,not acept,not furnished,0,0,15
São Paulo,52,1,1,1,15,not acept,furnished,1218,284,64
São Paulo,70,1,1,0,-,acept,not furnished,0,60,14
São Paulo,40,1,1,1,3,acept,furnished,686,52,41
Campinas,64,2,1,1,2,acept,not furnished,549,76,11
Belo Horizonte,402,4,7,4,15,not acept,not furnished,2124,158,200
Belo Horizonte,109,3,2,2,2,acept,not furnished,400,130,24
São Paulo,100,2,1,1,-,acept,not furnished,0,84,29
São Paulo,312,3,6,3,-,acept,furnished,0,1063,95
Rio de Janeiro,103,3,2,0,4,acept,not furnished,812,200,36
Rio de Janeiro,120,3,1,1,-,acept,not furnished,0,67,18
Porto Alegre,88,2,1,0,1,acept,furnished,270,27,19
Porto Alegre,75,3,1,0,3,acept,not furnished,400,22,16
Porto Alegre,25,1,1,0,3,acept,not furnished,143,26,30
Porto Alegre,50,1,1,0,3,acept,not furnished,0,0,17
Belo Horizonte,200,4,2,1,5,not acept,not furnished,1800,327,40
São Paulo,92,2,2,2,17,acept,furnished,840,244,29
São Paulo,18,1,1,1,3,not acept,not furnished,690,84,14
São Paulo,31,1,1,0,1,acept,furnished,550,0,37
Rio de Janeiro,30,1,1,0,14,acept,furnished,706,133,15
Rio de Janeiro,150,3,2,1,10,acept,not furnished,1500,140,17
São Paulo,167,3,3,4,10,acept,not furnished,1814,807,70
Rio de Janeiro,86,2,2,1,1,not acept,furnished,1500,375,71
São Paulo,116,4,3,2,8,acept,not furnished,1040,330,31
Porto Alegre,110,3,3,0,1,acept,not furnished,400,75,48
São Paulo,195,2,3,1,10,acept,not furnished,1500,334,77
Campinas,100,3,2,3,-,acept,not furnished,0,0,34
Rio de Janeiro,80,2,2,2,12,acept,not furnished,900,100,13
Belo Horizonte,51,2,1,0,2,acept,furnished,165,27,14
São Paulo,500,5,7,5,22,acept,not furnished,5500,2084,178
São Paulo,70,2,1,0,-,acept,not furnished,0,255,26
Porto Alegre,450,5,3,6,-,acept,not furnished,0,94,85
São Paulo,48,1,1,1,12,acept,furnished,766,150,49
São Paulo,123,3,2,2,7,not acept,not furnished,1000,250,32
São Paulo,200,4,4,3,7,not acept,not furnished,2800,997,78
São Paulo,270,3,3,3,-,acept,not furnished,3500,834,87
Rio de Janeiro,78,2,2,1,8,acept,not furnished,720,290,19
São Paulo,71,2,1,0,8,not acept,not furnished,764,0,23
Rio de Janeiro,207,4,3,1,5,acept,not furnished,1500,542,55
Rio de Janeiro,20,1,1,0,1,acept,not furnished,375,30,17
São Paulo,78,3,2,2,1,acept,not furnished,780,230,20
Porto Alegre,62,1,1,0,3,acept,not furnished,150,13,14
São Paulo,300,4,4,2,-,acept,not furnished,0,267,128
Rio de Janeiro,72,1,1,1,1,acept,not furnished,957,239,46
São Paulo,65,2,1,1,3,acept,not furnished,315,47,18
São Paulo,113,3,2,2,8,acept,not furnished,1750,359,38
Campinas,47,1,1,1,8,acept,not furnished,560,46,14
São Paulo,75,2,1,1,5,not acept,not furnished,748,0,26
Porto Alegre,85,2,2,0,7,acept,furnished,660,113,37
São Paulo,87,2,3,2,1,acept,furnished,1200,492,46
São Paulo,27,1,1,0,5,not acept,not furnished,1405,1,45
São Paulo,78,2,2,1,2,acept,not furnished,560,0,35
São Paulo,75,3,2,2,14,acept,not furnished,658,87,30
Belo Horizonte,240,4,3,4,3,acept,not furnished,2677,161,96
São Paulo,47,1,1,0,4,not acept,not furnished,100,76,13
Campinas,108,1,3,2,9,acept,not furnished,980,0,58
São Paulo,30,1,1,1,14,acept,furnished,350,83,33
Porto Alegre,42,1,1,1,3,acept,not furnished,390,54,21
Porto Alegre,360,5,3,3,-,acept,not furnished,0,0,63
São Paulo,400,5,5,5,-,acept,not furnished,0,2500,97
Campinas,42,2,1,1,4,acept,not furnished,191,0,13
Belo Horizonte,19,1,1,0,1,not acept,not furnished,0,37,16
São Paulo,95,1,2,2,15,acept,not furnished,1859,566,102
São Paulo,520,4,6,4,-,acept,not furnished,0,2250,226
Belo Horizonte,120,4,2,2,-,acept,not furnished,0,397,50
São Paulo,40,1,1,0,1,not acept,not furnished,600,111,17
São Paulo,164,3,2,1,15,acept,furnished,1229,198,47
Rio de Janeiro,25,1,1,0,-,acept,not furnished,50,0,10
São Paulo,100,2,3,1,2,acept,not furnished,1260,315,51
São Paulo,96,2,1,1,-,acept,furnished,0,23,52
Rio de Janeiro,50,1,1,1,5,acept,not furnished,700,0,13
São Paulo,1600,4,5,12,-,acept,not furnished,1,5000,104
São Paulo,170,3,4,3,21,acept,not furnished,1500,450,64
